target,n_imputed,rmse_base,rmse_overlay,rmse_diff_base_minus_overlay,mae_base,mae_overlay,mae_diff_base_minus_overlay,r2_base,r2_overlay,r2_diff_overlay_minus_base
t6ltl,1594,0.5945918206843956,0.5864614694288715,0.008130351255524193,0.4620241298792484,0.46887607999155334,-0.006851950112304939,0.5008658615509308,0.514422693603142,0.013556832052211143
t7ltl,1616,0.5816373326042548,0.5688200557780432,0.012817276826211588,0.44839237522481395,0.4589886212212006,-0.010596245996386644,0.49572200694731583,0.5177022135043182,0.02198020655700239
t8ltl,1633,0.5845864369195268,0.5627028622020808,0.021883574717446064,0.45355411185167244,0.4534271497299937,0.0001269621216787309,0.46805858800231914,0.5071388566769794,0.0390802686746603
t9ltl,1652,0.5538550982450755,0.5323432312950749,0.021511866950000624,0.4267069712894592,0.425829409752447,0.0008775615370122392,0.5041425249818059,0.5419129422536687,0.03777041727186281
t10ltl,1660,0.5355543349279132,0.5120048064185428,0.02354952850937031,0.39727068404296795,0.39892216336251385,-0.001651479319545901,0.5034248783243478,0.5461357708767679,0.04271089255242011
t11ltl,1678,0.4956799384919108,0.4779414961941132,0.017738442297797585,0.3598639018482865,0.36575100485277634,-0.005887103004489858,0.5470339445801393,0.5788736161711598,0.031839671591020524
t12ltl,1685,0.4603103503903557,0.44195924361722827,0.018351106773127457,0.3238388257620729,0.32737894439047277,-0.0035401186283998687,0.5791080638912078,0.6119983543311005,0.03289029043989267
l1ltl,1682,0.44891237000250317,0.43766602785749287,0.011246342145010302,0.3080084485192335,0.3071261135519091,0.0008823349673243719,0.5982218581930687,0.6181007237861366,0.01987886559306784
l2ltl,1689,0.5096996159032727,0.48612005830759153,0.0235795575956812,0.38119043730025093,0.3629558557212185,0.018234581579032405,0.4977548710355246,0.5431493959858992,0.04539452495037455
l3ltl,1694,0.5218987134737438,0.49487548498526984,0.027023228488473994,0.3922715671552915,0.373974337616942,0.018297229538349502,0.5000601359686156,0.550492237475106,0.05043210150649036
l4ltl,1694,0.5146442669001184,0.49979925339089937,0.014845013509219074,0.39193763538102105,0.38237602269626636,0.009561612684754695,0.5071934681359405,0.5352136304589068,0.028020162322966335
l5ltl,1694,0.5140157527285766,0.5041877459079847,0.009828006820591928,0.39537261012191705,0.39109313612586105,0.0042794739960559935,0.5201022696340387,0.5382781674580587,0.01817589782401996
s1ltl,1694,0.5312283161971019,0.5060470429109498,0.02518127328615205,0.4104079346787162,0.3972698027584724,0.013138131920243823,0.4908935395887619,0.5380149111634689,0.04712137157470697
s2ltl,1694,0.5490963744891031,0.5165154767443428,0.03258089774476025,0.42404541412946783,0.397401330685254,0.026644083444213817,0.46758270003080094,0.5288906924397414,0.06130799240894047
s3ltl,1691,0.5546878715597349,0.5175137278087525,0.03717414375098238,0.4420338961753459,0.40133062504740824,0.040703271127937646,0.4681763330481281,0.5370713394661721,0.06889500641804402
s45ltl,626,0.6752645835158656,0.6230816028943482,0.05218298062151738,0.5571923408978663,0.5187889234945416,0.03840341740332465,-0.4840251747257176,-0.26352308376880007,0.22050209095691753
c2ltr,218,0.21648700239005986,0.1908202237641321,0.025666778625927755,0.11455384963149325,0.11080229719844434,0.0037515524330489075,,,
c3ltr,165,0.23361448514645383,0.24831715618212513,-0.0147026710356713,0.068410155989907,0.07898550069693364,-0.010575344707026632,0.6244124909448034,0.5756491686727909,-0.04876332227201252
c4ltr,139,0.5136243005290666,0.4781116134455294,0.03551268708353722,0.27829036909899263,0.26444737345194647,0.013842995647046163,0.5955347163325144,0.6495317249004249,0.053997008567910454
c5ltr,424,0.6726257200893653,0.7163144577495265,-0.043688737660161236,0.5300315962313622,0.5913010823698539,-0.0612694861384917,0.3901809815998101,0.30838969084058343,-0.08179129075922664
