iter	Passed	Remaining
293	14646	184621
294	14695	184567
295	14746	184529
296	14796	184477
297	14846	184429
298	14895	184377
299	14945	184326
300	14995	184277
301	15044	184215
302	15094	184167
303	15143	184117
304	15193	184068
305	15244	184025
306	15295	183997
307	15344	183930
308	15393	183869
309	15443	183824
310	15492	183770
311	15542	183716
312	15590	183648
313	15639	183584
314	15690	183554
315	15740	183503
316	15788	183440
317	15837	183379
318	15886	183319
319	15936	183264
320	15985	183216
321	16033	183145
322	16083	183090
323	16133	183041
324	16184	183010
325	16233	182953
326	16283	182898
327	16332	182844
328	16383	182803
329	16432	182753
330	16483	182714
331	16534	182673
332	16585	182638
333	16634	182585
334	16685	182545
335	16732	182468
336	16781	182408
337	16831	182355
338	16882	182315
339	16931	182266
340	16982	182229
341	17031	182169
342	17080	182110
343	17129	182047
344	17179	182000
345	17228	181943
346	17277	181886
347	17326	181831
348	17376	181779
349	17426	181735
350	17475	181674
351	17525	181624
352	17574	181570
353	17623	181513
354	17672	181455
355	17723	181416
356	17773	181367
357	17822	181316
358	17873	181276
359	17924	181232
360	17973	181179
361	18022	181126
362	18072	181071
363	18121	181018
364	18172	180975
365	18223	180937
366	18272	180885
367	18322	180838
368	18372	180790
369	18424	180754
370	18476	180729
371	18526	180686
372	18577	180645
373	18627	180593
374	18675	180530
375	18726	180490
376	18776	180441
377	18825	180390
378	18875	180339
379	18927	180308
380	18976	180249
381	19026	180207
382	19076	180158
383	19125	180101
384	19175	180050
385	19224	179993
386	19275	179955
387	19325	179904
388	19374	179851
389	19426	179817
390	19474	179755
391	19525	179714
392	19575	179662
393	19624	179607
394	19674	179565
395	19723	179506
396	19773	179456
397	19822	179398
398	19870	179334
399	19919	179273
400	19967	179212
